id,Student ID,Student Name,Institutional Email,Facebook Link
1,24-4339-705,Tabotabo Adrian Seth M.,adrianseth.tabotabo@cit.edu,https://facebook.com/dreeyanzz
2,24-1023-441,Reyes Maria Cristina L.,mariacristina.reyes@cit.edu,https://facebook.com/mcreyes
3,23-5812-308,Santos Juan Paolo R.,juanpaolo.santos@cit.edu,https://facebook.com/jpsantos
4,23-7764-192,Dela Cruz Angelo T.,angelo.delacruz@cit.edu,
5,24-2291-867,Garcia Francesca Ysabel M.,francescaysabel.garcia@cit.edu,https://facebook.com/fygarcia
6,22-9103-534,Mendoza Raphael B.,raphael.mendoza@cit.edu,https://facebook.com/raphmendoza
7,24-6657-013,Villanueva Katrina Joy S.,katrinajoy.villanueva@cit.edu,
8,23-3380-776,Aquino Dominic Luis P.,dominicluis.aquino@cit.edu,https://facebook.com/dlaquino
9,22-8845-229,Torres Bianca Nicole R.,bicanicole.torres@cit.edu,https://facebook.com/bntorres
10,24-0174-650,Navarro Joshua Emmanuel C.,joshuaemmanuel.navarro@cit.edu,https://facebook.com/jenavarro
